CMDLINE /home/shiftpub/miniconda3/envs/amm-env/bin/python3.9 inf_step_exp/dp_approach/full_vec_grid.py
MEM 2.250000 1750256269.5010
MEM 40.484375 1750256269.6013
MEM 73.734375 1750256269.7016
MEM 104.984375 1750256269.8018
MEM 126.203125 1750256269.9020
MEM 141.203125 1750256270.0022
MEM 154.703125 1750256270.1025
MEM 174.703125 1750256270.2028
MEM 187.453125 1750256270.3031
MEM 464.070312 1750256270.4034
MEM 464.070312 1750256270.5036
MEM 464.070312 1750256270.6039
MEM 464.070312 1750256270.7041
MEM 464.070312 1750256270.8044
MEM 464.070312 1750256270.9048
MEM 464.070312 1750256271.0050
MEM 464.070312 1750256271.1053
MEM 464.070312 1750256271.2056
MEM 464.070312 1750256271.3057
MEM 464.070312 1750256271.4060
MEM 464.070312 1750256271.5063
MEM 464.070312 1750256271.6066
MEM 464.070312 1750256271.7069
MEM 464.070312 1750256271.8072
MEM 464.070312 1750256271.9075
MEM 464.070312 1750256272.0078
MEM 464.070312 1750256272.1081
MEM 464.070312 1750256272.2084
MEM 464.070312 1750256272.3087
MEM 464.070312 1750256272.4090
MEM 464.070312 1750256272.5093
MEM 464.070312 1750256272.6096
MEM 464.070312 1750256272.7099
MEM 464.070312 1750256272.8102
MEM 464.070312 1750256272.9105
MEM 464.070312 1750256273.0108
MEM 464.070312 1750256273.1111
MEM 464.070312 1750256273.2114
MEM 464.070312 1750256273.3117
MEM 464.070312 1750256273.4120
MEM 464.070312 1750256273.5123
MEM 464.320312 1750256273.6126
MEM 464.320312 1750256273.7129
MEM 464.320312 1750256273.8132
MEM 464.320312 1750256273.9135
MEM 464.320312 1750256274.0138
MEM 464.320312 1750256274.1140
MEM 464.320312 1750256274.2144
MEM 464.320312 1750256274.3147
MEM 464.320312 1750256274.4149
MEM 464.320312 1750256274.5152
MEM 464.570312 1750256274.6154
MEM 464.570312 1750256274.7158
MEM 464.570312 1750256274.8159
MEM 464.570312 1750256274.9162
MEM 464.570312 1750256275.0165
MEM 464.570312 1750256275.1168
MEM 464.570312 1750256275.2171
MEM 465.070312 1750256275.3174
MEM 551.773438 1750256275.4177
MEM 813.691406 1750256275.5181
MEM 1479.691406 1750256275.6184
MEM 2145.691406 1750256275.7187
MEM 2807.691406 1750256275.8190
MEM 3471.691406 1750256275.9194
MEM 4137.691406 1750256276.0198
MEM 4799.691406 1750256276.1201
MEM 5467.691406 1750256276.2205
MEM 6135.691406 1750256276.3208
MEM 6801.691406 1750256276.4212
MEM 7467.691406 1750256276.5215
MEM 8135.691406 1750256276.6219
MEM 8803.691406 1750256276.7222
MEM 9471.691406 1750256276.8225
MEM 10139.691406 1750256276.9229
MEM 10805.691406 1750256277.0233
MEM 11473.691406 1750256277.1237
MEM 12141.691406 1750256277.2240
MEM 12809.691406 1750256277.3244
MEM 13475.691406 1750256277.4247
MEM 14143.691406 1750256277.5251
MEM 14903.519531 1750256277.6255
MEM 15685.519531 1750256277.7259
MEM 16465.519531 1750256277.8262
MEM 17247.519531 1750256277.9266
MEM 18027.519531 1750256278.0269
MEM 18803.519531 1750256278.1273
MEM 19583.519531 1750256278.2277
MEM 20363.519531 1750256278.3280
MEM 21141.519531 1750256278.4283
